level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1025	343	-1	
2	1	1	0	0	0	27	19	942	209	-1	
3	1	1	1	0	0	27	19	942	209	-1	
4	1	1	1	1	0	386	19	224	27	-1	
5	1	1	1	1	1	386	19	71	26	88	\Version
5	1	1	1	1	2	465	24	70	17	95	Control
5	1	1	1	1	3	543	24	67	22	95	System
4	1	1	1	2	0	848	60	121	22	-1	
5	1	1	1	2	1	848	60	44	22	95	Mfg:
5	1	1	1	2	2	900	60	69	17	96	040317
4	1	1	1	3	0	850	97	119	22	-1	
5	1	1	1	3	1	850	98	42	21	96	Exp:
5	1	1	1	3	2	900	97	69	17	96	090420
4	1	1	1	4	0	28	133	919	22	-1	
5	1	1	1	4	1	28	134	18	16	97	In
5	1	1	1	4	2	54	133	47	17	96	other
5	1	1	1	4	3	108	133	82	20	96	scenario,
5	1	1	1	4	4	198	133	16	17	96	if
5	1	1	1	4	5	217	138	35	17	96	you
5	1	1	1	4	6	259	138	27	12	96	are
5	1	1	1	4	7	293	133	78	22	96	working
5	1	1	1	4	8	378	133	16	16	94	in
5	1	1	1	4	9	402	138	10	12	94	a
5	1	1	1	4	10	417	133	66	22	96	project
5	1	1	1	4	11	488	135	45	15	96	team
5	1	1	1	4	12	540	133	33	17	96	and
5	1	1	1	4	13	579	133	74	22	96	develop
5	1	1	1	4	14	660	138	10	12	96	a
5	1	1	1	4	15	676	133	70	17	96	module
5	1	1	1	4	16	752	133	41	17	96	with
5	1	1	1	4	17	800	138	10	12	96	a
5	1	1	1	4	18	816	138	54	17	96	group
5	1	1	1	4	19	877	133	22	17	96	of
5	1	1	1	4	20	902	135	45	15	96	team
4	1	1	1	5	0	28	169	69	17	-1	
5	1	1	1	5	1	28	169	69	17	95	040506
4	1	1	1	6	0	27	206	335	22	-1	
5	1	1	1	6	1	27	206	29	17	96	the
5	1	1	1	6	2	62	206	72	22	96	product
5	1	1	1	6	3	140	206	15	17	96	is
5	1	1	1	6	4	161	206	38	17	96	best
5	1	1	1	6	5	205	206	59	17	96	before
5	1	1	1	6	6	271	206	10	17	96	6
5	1	1	1	6	7	288	206	74	17	96	months.
2	1	2	0	0	0	26	242	932	76	-1	
3	1	2	1	0	0	26	242	932	76	-1	
4	1	2	1	1	0	26	242	889	22	-1	
5	1	2	1	1	1	26	242	92	20	96	members,
5	1	2	1	1	2	126	247	51	17	96	every
5	1	2	1	1	3	183	242	41	17	97	time
5	1	2	1	1	4	231	247	35	17	97	you
5	1	2	1	1	5	272	242	47	17	96	work
5	1	2	1	1	6	327	247	21	12	96	on
5	1	2	1	1	7	355	242	29	17	96	the
5	1	2	1	1	8	390	242	70	22	96	project,
5	1	2	1	1	9	467	247	35	17	96	you
5	1	2	1	1	10	509	242	61	17	96	should
5	1	2	1	1	11	576	242	52	17	96	know
5	1	2	1	1	12	635	242	67	22	96	exactly
5	1	2	1	1	13	708	242	46	17	96	what
5	1	2	1	1	14	759	242	31	17	96	has
5	1	2	1	1	15	797	242	68	22	96	already
5	1	2	1	1	16	871	242	44	17	96	been
4	1	2	1	2	0	28	269	930	22	-1	
5	1	2	1	2	1	28	269	102	22	96	completed,
5	1	2	1	2	2	138	269	60	20	96	added,
5	1	2	1	2	3	206	269	77	22	96	changed
5	1	2	1	2	4	290	269	33	17	97	and
5	1	2	1	2	5	329	274	19	12	97	so
5	1	2	1	2	6	356	274	28	12	96	on.
5	1	2	1	2	7	391	270	45	16	96	How
5	1	2	1	2	8	442	269	58	17	96	would
5	1	2	1	2	9	506	274	36	17	95	you
5	1	2	1	2	10	547	269	53	17	95	know
5	1	2	1	2	11	605	269	40	17	96	who
5	1	2	1	2	12	652	269	50	17	96	made
5	1	2	1	2	13	708	269	29	17	96	the
5	1	2	1	2	14	744	269	79	22	96	changes,
5	1	2	1	2	15	830	271	17	15	96	to
5	1	2	1	2	16	854	269	57	17	96	which
5	1	2	1	2	17	919	269	39	17	96	files
4	1	2	1	3	0	27	296	891	22	-1	
5	1	2	1	3	1	27	301	46	12	96	were
5	1	2	1	3	2	80	296	82	22	96	changed.
5	1	2	1	3	3	170	296	100	20	96	Otherwise,
5	1	2	1	3	4	277	301	35	17	96	you
5	1	2	1	3	5	318	301	40	17	96	may
5	1	2	1	3	6	365	296	33	17	97	end
5	1	2	1	3	7	404	301	23	17	96	up
5	1	2	1	3	8	433	296	79	22	96	working
5	1	2	1	3	9	518	301	22	12	97	on
5	1	2	1	3	10	548	296	97	22	96	something
5	1	2	1	3	11	650	296	36	17	96	that
5	1	2	1	3	12	692	296	15	17	97	is
5	1	2	1	3	13	714	296	68	22	96	already
5	1	2	1	3	14	788	296	43	17	96	been
5	1	2	1	3	15	839	296	79	17	96	finished.
